,PCA,ICA,NMF,VAE,DAE
2,0.4543560538915883,0.4543560538939983,0.4265346085763834,0.4245713050756733,0.29833774480703584
3,0.5033120572766732,0.5033120605577145,0.4839460168337386,0.46787095405596374,0.4144370405310738
4,0.5419964601172126,0.5419964637512225,0.5222033614864715,0.5159680766753435,0.4087302377392417
5,0.5706155738846841,0.5706155796463275,0.549512010098226,0.5358306191513582,0.4789512192419381
6,0.5938458443658416,0.5938459686838028,0.5733929708577294,0.5629721174935743,0.4927402874672641
7,0.6144375883819464,0.6144376926514384,0.5937169717567421,0.5864293365265242,0.4124179591042445
8,0.6332023642885379,0.6332027145280671,0.6115667357428458,0.6060478004990331,0.5218107117558201
9,0.6499812891080511,0.6499826897509616,0.6275238779905794,0.6218967206734312,0.5430350361617412
10,0.6646240735043514,0.6646250142725286,0.6431463226758629,0.6328847529283033,0.5422825449602382
12,0.6900595422140795,0.6900632450950623,0.6680443573581258,0.655231419703771,0.5868583406451656
14,0.7122406844977127,0.7122451558136338,0.6877392355755902,0.6670135946580552,0.6105863239342784
16,0.7309943736122426,0.7311101437233031,0.7056257568884192,0.6978048354426544,0.615827490365186
18,0.7463682181110213,0.7467538580732143,0.7215592346304178,0.710687629519574,0.6431310741791071
20,0.7602143804978254,0.7607813963590462,0.7355376313113141,0.7167385964956929,0.6497249143488449
25,0.7905282768880245,0.791102006161872,0.7661853510376282,0.738443316248398,0.6785159423087871
30,0.8151550881217292,0.8157200137757706,0.7911104758878403,0.7758596838481544,0.6911603372348042
35,0.8359583344296755,0.8368919534989057,0.8131231453314958,0.7969067475274192,0.7132603394811402
40,0.8542157685930802,0.8552439740910277,0.8319416426851909,0.8093382597668283,0.7215453122545143
45,0.8703718491109893,0.8713041586874947,0.8486646887908236,0.8043963353640959,0.7399874201540605
50,0.8850004032930985,0.8856885300655547,0.8636052791527193,0.8234257884515316,0.7571873103739081
60,0.9096558814300264,0.9103828270780154,0.8890621361547054,0.8545549334042167,0.7805923756172823
78,0.9437697144559828,0.9443863847930212,0.92802283535742,0.8813806030728917,0.8103808652924412
80,0.9470374298490316,0.9474924495670491,0.931072827986838,0.8810213619512519,0.8081014639712724
90,0.9614220272121832,0.9617521332484946,0.948453528149399,0.8871441027128565,0.8217460733396278
100,0.9732212233858392,0.9733804989041108,0.96322751143277,0.8914459716111629,0.8273577005560265
125,0.9920481227234034,0.9920717779003114,0.9876070559451524,0.9070713804338161,0.8572466068588921
150,0.9996703857981803,0.99967038579818,0.9985175856049322,0.9134027914422771,0.8805067834006963
