dataset_id,num_comp,data_type,algorithm,reconstruction_cost
GEO,2,Training,ICA,129.16888491377162
GEO,2,Testing,ICA,44.803607503244635
GEO,3,Training,ICA,124.62698357592373
GEO,3,Testing,ICA,44.193605537865636
GEO,4,Training,ICA,121.09070651229378
GEO,4,Testing,ICA,43.43069303702727
GEO,5,Training,ICA,118.11113641309014
GEO,5,Testing,ICA,43.05054387097535
GEO,6,Training,ICA,115.7314865956031
GEO,6,Testing,ICA,41.962684141558114
GEO,7,Training,ICA,113.52764741969082
GEO,7,Testing,ICA,41.11346757759288
GEO,8,Training,ICA,111.34682289752939
GEO,8,Testing,ICA,40.41451062056298
GEO,9,Training,ICA,109.37016492064862
GEO,9,Testing,ICA,39.87516749154673
GEO,10,Training,ICA,107.57905387467257
GEO,10,Testing,ICA,39.446607954901644
GEO,12,Training,ICA,104.25022833563716
GEO,12,Testing,ICA,38.77893935646792
GEO,14,Training,ICA,101.1337826213738
GEO,14,Testing,ICA,37.99786725231045
GEO,16,Training,ICA,98.35002141395692
GEO,16,Testing,ICA,37.52692621319065
GEO,18,Training,ICA,95.80863295769466
GEO,18,Testing,ICA,37.1593409591845
GEO,20,Training,ICA,93.51056360114428
GEO,20,Testing,ICA,36.732508703816116
GEO,25,Training,ICA,88.01965601738571
GEO,25,Testing,ICA,36.00070460643947
GEO,30,Training,ICA,82.98906497191808
GEO,30,Testing,ICA,35.34374065483423
GEO,35,Training,ICA,78.32566972757381
GEO,35,Testing,ICA,35.06961004966633
GEO,40,Training,ICA,73.97063450817548
GEO,40,Testing,ICA,34.71038800458599
GEO,45,Training,ICA,69.81688197380889
GEO,45,Testing,ICA,34.494780629499196
GEO,50,Training,ICA,65.86189274382085
GEO,50,Testing,ICA,34.317137384797725
GEO,60,Training,ICA,58.39501651236532
GEO,60,Testing,ICA,33.85453651464421
GEO,78,Training,ICA,45.90097487804265
GEO,78,Testing,ICA,33.185905509504046
GEO,80,Training,ICA,44.56838545930062
GEO,80,Testing,ICA,33.14562520170663
GEO,90,Training,ICA,37.874864952321396
GEO,90,Testing,ICA,32.661182907614645
GEO,100,Training,ICA,31.451917722675308
GEO,100,Testing,ICA,32.26490452001788
GEO,125,Training,ICA,16.14692518717717
GEO,125,Testing,ICA,31.15585991004147
GEO,150,Training,ICA,3.5718243562591514
GEO,150,Testing,ICA,30.603506509702353
