dataset_id,num_comp,data_type,algorithm,reconstruction_cost
GEO,2,Training,NMF,131.12742991534952
GEO,2,Testing,NMF,44.925996836478234
GEO,3,Training,NMF,126.32183880901472
GEO,3,Testing,NMF,44.258126202527116
GEO,4,Training,NMF,123.04549217526089
GEO,4,Testing,NMF,43.466711349061825
GEO,5,Training,NMF,120.52781177891265
GEO,5,Testing,NMF,43.137318719911335
GEO,6,Training,NMF,117.97886562499964
GEO,6,Testing,NMF,42.60833431074541
GEO,7,Training,NMF,115.86634903546535
GEO,7,Testing,NMF,41.43942394750207
GEO,8,Training,NMF,114.01867692504258
GEO,8,Testing,NMF,40.9438882495104
GEO,9,Training,NMF,112.06739296529803
GEO,9,Testing,NMF,40.42090817105557
GEO,10,Training,NMF,110.48488062714361
GEO,10,Testing,NMF,39.95784763620219
GEO,12,Training,NMF,107.43185854789917
GEO,12,Testing,NMF,39.353269927370825
GEO,14,Training,NMF,104.79167571139956
GEO,14,Testing,NMF,38.83391109651649
GEO,16,Training,NMF,102.39902029806227
GEO,16,Testing,NMF,38.08299183347713
GEO,18,Training,NMF,100.28796465794456
GEO,18,Testing,NMF,38.299642265604305
GEO,20,Training,NMF,98.04087859195018
GEO,20,Testing,NMF,37.459540363436204
GEO,25,Training,NMF,93.08612582376172
GEO,25,Testing,NMF,36.84529193640343
GEO,30,Training,NMF,88.11212838574006
GEO,30,Testing,NMF,36.28883896841504
GEO,35,Training,NMF,83.84543057152196
GEO,35,Testing,NMF,36.07545266602136
GEO,40,Training,NMF,79.99524607289604
GEO,40,Testing,NMF,35.950752822999945
GEO,45,Training,NMF,75.94589946524457
GEO,45,Testing,NMF,35.722027051672434
GEO,50,Training,NMF,72.10100301237017
GEO,50,Testing,NMF,35.6339551072194
GEO,60,Training,NMF,65.16047645746924
GEO,60,Testing,NMF,35.32863704725606
GEO,78,Training,NMF,52.70040087202843
GEO,78,Testing,NMF,35.04354705447691
GEO,80,Training,NMF,51.58252869968931
GEO,80,Testing,NMF,35.0254580172409
GEO,90,Training,NMF,44.15716154936115
GEO,90,Testing,NMF,34.86221421873058
GEO,100,Training,NMF,37.181124153680365
GEO,100,Testing,NMF,34.717221006275736
GEO,125,Training,NMF,20.596978427421448
GEO,125,Testing,NMF,33.770714144462026
GEO,150,Training,NMF,8.339319329139876
GEO,150,Testing,NMF,33.6606944342602
