dataset_id,num_comp,data_type,algorithm,reconstruction_cost
GEO,2,Training,PCA,129.1688849139912
GEO,2,Testing,PCA,44.80360722855402
GEO,3,Training,PCA,124.62698359154662
GEO,3,Testing,PCA,44.19359833076533
GEO,4,Training,PCA,121.09070657820214
GEO,4,Testing,PCA,43.43066229848461
GEO,5,Training,PCA,118.11113691310187
GEO,5,Testing,PCA,43.05061482505502
GEO,6,Training,PCA,115.73166348599095
GEO,6,Testing,PCA,41.96466150782334
GEO,7,Training,PCA,113.52767477386197
GEO,7,Testing,PCA,41.11280471754911
GEO,8,Training,PCA,111.34684577374031
GEO,8,Testing,PCA,40.41556028643409
GEO,9,Training,PCA,109.37032282705002
GEO,9,Testing,PCA,39.87571019990371
GEO,10,Training,PCA,107.57956870270996
GEO,10,Testing,PCA,39.44148966475608
GEO,12,Training,PCA,104.25042643691914
GEO,12,Testing,PCA,38.7761348748963
GEO,14,Training,PCA,101.13437045618583
GEO,14,Testing,PCA,37.995030921448375
GEO,16,Training,PCA,98.38249185395145
GEO,16,Testing,PCA,37.539114770218085
GEO,18,Training,PCA,95.85001944931695
GEO,18,Testing,PCA,37.17166194147174
GEO,20,Training,PCA,93.6052780876282
GEO,20,Testing,PCA,36.856960671582065
GEO,25,Training,PCA,88.1533291845295
GEO,25,Testing,PCA,36.02338032180643
GEO,30,Training,PCA,83.15716632225697
GEO,30,Testing,PCA,35.33750956669084
GEO,35,Training,PCA,78.4531759905562
GEO,35,Testing,PCA,35.05753481373396
GEO,40,Training,PCA,74.11714532419258
GEO,40,Testing,PCA,34.73366556929023
GEO,45,Training,PCA,70.0385452479033
GEO,45,Testing,PCA,34.484059721398744
GEO,50,Training,PCA,66.06527283957426
GEO,50,Testing,PCA,34.316715505641795
GEO,60,Training,PCA,58.621336156290766
GEO,60,Testing,PCA,33.88491630749311
GEO,78,Training,PCA,46.10674709384621
GEO,78,Testing,PCA,33.14203332206312
GEO,80,Training,PCA,44.77766801395124
GEO,80,Testing,PCA,33.136693566766525
GEO,90,Training,PCA,38.047266450981205
GEO,90,Testing,PCA,32.658375968204
GEO,100,Training,PCA,31.557847871856055
GEO,100,Testing,PCA,32.227046702643136
GEO,125,Training,PCA,16.152809116348344
GEO,125,Testing,PCA,31.15717312346894
GEO,150,Training,PCA,3.5718243562591514
GEO,150,Testing,PCA,30.603506509702353
