dataset_id,num_comp,data_type,algorithm,reconstruction_cost
GEO,2,Training,ICA,130.10410694010108
GEO,2,Testing,ICA,42.42510604930392
GEO,3,Training,ICA,126.01611375864974
GEO,3,Testing,ICA,40.66663412382221
GEO,4,Training,ICA,122.48920274114978
GEO,4,Testing,ICA,39.70674590835248
GEO,5,Training,ICA,119.95366254325644
GEO,5,Testing,ICA,38.350392737262275
GEO,6,Training,ICA,117.4408990087342
GEO,6,Testing,ICA,37.47888088523808
GEO,7,Training,ICA,115.12690242184622
GEO,7,Testing,ICA,36.59036535506579
GEO,8,Training,ICA,112.8999602000487
GEO,8,Testing,ICA,36.123385300090014
GEO,9,Training,ICA,110.78172352813091
GEO,9,Testing,ICA,35.89339116849257
GEO,10,Training,ICA,108.88085670213161
GEO,10,Testing,ICA,35.61669189487932
GEO,12,Training,ICA,105.55013740079764
GEO,12,Testing,ICA,34.84185324140939
GEO,14,Training,ICA,102.37406043193313
GEO,14,Testing,ICA,34.30890337924661
GEO,16,Training,ICA,99.49389217069798
GEO,16,Testing,ICA,33.97787742841151
GEO,18,Training,ICA,97.00964084093447
GEO,18,Testing,ICA,33.49448762919831
GEO,20,Training,ICA,94.69250080805809
GEO,20,Testing,ICA,33.175707695535436
GEO,25,Training,ICA,89.17869411265188
GEO,25,Testing,ICA,32.47920987202125
GEO,30,Training,ICA,84.2059978190814
GEO,30,Testing,ICA,31.80864582694106
GEO,35,Training,ICA,79.64498507622453
GEO,35,Testing,ICA,31.382802116185164
GEO,40,Training,ICA,75.37158747397935
GEO,40,Testing,ICA,30.940838901582833
GEO,45,Training,ICA,71.28576121261666
GEO,45,Testing,ICA,30.498614032541376
GEO,50,Training,ICA,67.35194387746611
GEO,50,Testing,ICA,30.210597259498694
GEO,60,Training,ICA,59.92315426312394
GEO,60,Testing,ICA,29.579270320618814
GEO,78,Training,ICA,47.47169366202766
GEO,78,Testing,ICA,28.450749249212844
GEO,80,Training,ICA,46.14444159850083
GEO,80,Testing,ICA,28.37712428791266
GEO,90,Training,ICA,39.53182516046297
GEO,90,Testing,ICA,27.832483482276498
GEO,100,Training,ICA,33.10809084670158
GEO,100,Testing,ICA,27.25789542489201
GEO,125,Training,ICA,17.99081552812087
GEO,125,Testing,ICA,25.841672449451956
GEO,150,Training,ICA,3.774711397294931
GEO,150,Testing,ICA,24.54058711338024
