dataset_id,num_comp,data_type,algorithm,reconstruction_cost
GEO,2,Training,PCA,130.10410694010108
GEO,2,Testing,PCA,42.42510604930392
GEO,3,Training,PCA,126.01611375864974
GEO,3,Testing,PCA,40.66663412382221
GEO,4,Training,PCA,122.48920274114978
GEO,4,Testing,PCA,39.70674590835248
GEO,5,Training,PCA,119.95366254325644
GEO,5,Testing,PCA,38.350392737262275
GEO,6,Training,PCA,117.4408990087342
GEO,6,Testing,PCA,37.47888088523808
GEO,7,Training,PCA,115.12690242184622
GEO,7,Testing,PCA,36.59036535506579
GEO,8,Training,PCA,112.8999602000487
GEO,8,Testing,PCA,36.123385300090014
GEO,9,Training,PCA,110.78172352813091
GEO,9,Testing,PCA,35.89339116849257
GEO,10,Training,PCA,108.88085670213161
GEO,10,Testing,PCA,35.61669189487932
GEO,12,Training,PCA,105.55013740079764
GEO,12,Testing,PCA,34.84185324140939
GEO,14,Training,PCA,102.37406043193313
GEO,14,Testing,PCA,34.30890337924661
GEO,16,Training,PCA,99.49389217069798
GEO,16,Testing,PCA,33.97787742841151
GEO,18,Training,PCA,97.00964084093447
GEO,18,Testing,PCA,33.49448762919831
GEO,20,Training,PCA,94.69250080805809
GEO,20,Testing,PCA,33.175707695535436
GEO,25,Training,PCA,89.17869411265188
GEO,25,Testing,PCA,32.47920987202125
GEO,30,Training,PCA,84.2059978190814
GEO,30,Testing,PCA,31.80864582694106
GEO,35,Training,PCA,79.64498507622453
GEO,35,Testing,PCA,31.382802116185164
GEO,40,Training,PCA,75.37158747397935
GEO,40,Testing,PCA,30.940838901582833
GEO,45,Training,PCA,71.28576121261666
GEO,45,Testing,PCA,30.498614032541376
GEO,50,Training,PCA,67.35194387746611
GEO,50,Testing,PCA,30.210597259498694
GEO,60,Training,PCA,59.92315426312394
GEO,60,Testing,PCA,29.579270320618814
GEO,78,Training,PCA,47.47169366202766
GEO,78,Testing,PCA,28.450749249212844
GEO,80,Training,PCA,46.14444159850083
GEO,80,Testing,PCA,28.37712428791266
GEO,90,Training,PCA,39.53182516046297
GEO,90,Testing,PCA,27.832483482276498
GEO,100,Training,PCA,33.10809084670158
GEO,100,Testing,PCA,27.25789542489201
GEO,125,Training,PCA,17.99081552812087
GEO,125,Testing,PCA,25.841672449451956
GEO,150,Training,PCA,3.774711397294931
GEO,150,Testing,PCA,24.54058711338024
