dataset_id,num_comp,data_type,algorithm,reconstruction_cost
GEO,2,Training,PCA,131.79646456298167
GEO,2,Testing,PCA,43.15447121445157
GEO,3,Training,PCA,127.54691849351106
GEO,3,Testing,PCA,40.99617090690595
GEO,4,Training,PCA,124.16540826497764
GEO,4,Testing,PCA,40.43584386806268
GEO,5,Training,PCA,121.70648158855647
GEO,5,Testing,PCA,39.682631192014
GEO,6,Training,PCA,119.53498561711066
GEO,6,Testing,PCA,38.35190178948493
GEO,7,Training,PCA,117.36610058250409
GEO,7,Testing,PCA,37.33189524754773
GEO,8,Training,PCA,115.47041902187635
GEO,8,Testing,PCA,36.98856128459658
GEO,9,Training,PCA,113.45802432304082
GEO,9,Testing,PCA,36.4255355536611
GEO,10,Training,PCA,111.75038379232953
GEO,10,Testing,PCA,36.26373771897448
GEO,12,Training,PCA,108.7952890746132
GEO,12,Testing,PCA,35.63605830887053
GEO,14,Training,PCA,105.92052668983054
GEO,14,Testing,PCA,35.33575608148689
GEO,16,Training,PCA,103.41202053510946
GEO,16,Testing,PCA,35.10180503191923
GEO,18,Training,PCA,101.1240282701852
GEO,18,Testing,PCA,34.60642043013085
GEO,20,Training,PCA,99.11647044946524
GEO,20,Testing,PCA,34.45225192782998
GEO,25,Training,PCA,94.13307651540018
GEO,25,Testing,PCA,33.704250063081396
GEO,30,Training,PCA,89.32066250152006
GEO,30,Testing,PCA,33.33970567865244
GEO,35,Training,PCA,84.99739648886309
GEO,35,Testing,PCA,33.22162576399126
GEO,40,Training,PCA,80.87987207266539
GEO,40,Testing,PCA,33.13835322925617
GEO,45,Training,PCA,77.298660148923
GEO,45,Testing,PCA,32.46290649562175
GEO,50,Training,PCA,73.5106740086796
GEO,50,Testing,PCA,32.73303546954622
GEO,60,Training,PCA,66.37630206647732
GEO,60,Testing,PCA,32.3205505735491
GEO,78,Training,PCA,54.05761720943428
GEO,78,Testing,PCA,31.515618540787344
GEO,80,Training,PCA,52.863586580602195
GEO,80,Testing,PCA,31.771863047474913
GEO,90,Training,PCA,46.03298255482951
GEO,90,Testing,PCA,31.328746283254493
GEO,100,Training,PCA,39.127839739445136
GEO,100,Testing,PCA,30.781890811928587
GEO,125,Training,PCA,22.528755787319916
GEO,125,Testing,PCA,29.17939348483347
GEO,150,Training,PCA,8.223112845855809
GEO,150,Testing,PCA,28.914087292757973
