cumulative_attempts	attempts	complete	unchanged	same_edge	self_loop	duplicate	undirected_duplicate	excluded	metaedge	abbrev	permutation
1963	1964	0.10002	0.5276	0	0	0.17974	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
3926	1963	0.19999	0.30393	0.00050942	0	0.1676	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
5889	1963	0.29996	0.19699	0	0	0.17015	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
7852	1963	0.39993	0.14606	0	0	0.17066	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
9815	1963	0.4999	0.11937	0	0	0.17524	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
11778	1963	0.59987	0.1043	0	0	0.16556	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
13741	1963	0.69984	0.095946	0	0	0.15741	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
15704	1963	0.79981	0.097168	0.00050942	0	0.1676	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
17667	1963	0.89978	0.098798	0	0	0.16302	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
19630	1963	0.99975	0.10267	0	0	0.17117	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
19635	5	1	0.10267	0	0	0	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
1617	1618	0.10005	0.50804	0	0	0.12237	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
3234	1617	0.20004	0.28197	0	0	0.14286	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
4851	1617	0.30002	0.17536	0.00061843	0	0.1274	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
6468	1617	0.40001	0.12219	0	0	0.13296	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
8085	1617	0.5	0.092506	0.00061843	0	0.12492	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
9702	1617	0.59999	0.079891	0.00061843	0	0.1243	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
11319	1617	0.69998	0.079149	0.00061843	0	0.11379	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
12936	1617	0.79996	0.079891	0	0	0.12183	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
14553	1617	0.89995	0.072718	0	0	0.12987	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
16170	1617	0.99994	0.07346	0.00061843	0	0.14348	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
16171	1	1	0.07346	0	0	0	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
14284	14285	0.1	0.49286	7.0004e-05	0	0.093175	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
28568	14284	0.2	0.25812	7.0008e-05	0	0.097452	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
42852	14284	0.29999	0.14569	7.0008e-05	0	0.097032	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
57136	14284	0.39998	0.093946	0	0	0.097592	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
71420	14284	0.49998	0.069864	0	0	0.095211	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
85704	14284	0.59997	0.057208	0	0	0.094371	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
99988	14284	0.69997	0.051747	0.00014002	0	0.098782	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
114272	14284	0.79996	0.049675	0	0	0.097312	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
128556	14284	0.89996	0.047687	7.0008e-05	0	0.093881	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
